,PetID,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,State,Quantity,Fee,VideoAmt,PhotoAmt,AdoptionSpeed
46,22f6c0ac6,Cat,Cimpuk,5,Domestic Medium Hair,Domestic Medium Hair,Male,Yellow,White,White,Small,Long,Yes,Yes,No,Healthy,Selangor,1,0,0,13.0,3
47,ea159d8da,Dog,Lollipop,72,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,3.0,4
48,af1035c81,Dog,Cute Puppies,1,Mixed Breed,Mixed Breed,Mixed,Black,Brown,Brown,Medium,Short,NA,NA,No,Healthy,Selangor,9,0,0,3.0,3
49,0d25f084f,Cat,Alang,60,Domestic Long Hair,Domestic Long Hair,Male,Black,Brown,White,Large,Long,Yes,Yes,Yes,Healthy,Selangor,1,0,0,3.0,2
50,6fecc5cf7,Dog,Blackie Duo,1,Mixed Breed,Labrador Retriever,Female,Black,Black,Black,Medium,Medium,No,Yes,Yes,Healthy,Selangor,2,0,0,13.0,3
51,7fe8ef73d,Cat,Cedric Jones,6,Domestic Short Hair,Domestic Short Hair,Male,Black,Brown,White,Medium,Short,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,100,0,1.0,4
52,015c75c9e,Dog,BouncerBoy: Beagle Mix,2,Mixed Breed,Mixed Breed,Male,Brown,White,White,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,3.0,3
53,9609a0b86,Dog,Mummies,12,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,2,0,0,5.0,4
54,c740abfe1,Dog,Dusty,3,Mixed Breed,Mixed Breed,Female,Brown,White,White,Small,Short,NA,NA,NA,Minor Injury,Selangor,1,0,0,0.0,3
55,f6551137d,Cat,Kitties,3,Domestic Medium Hair,Domestic Medium Hair,Mixed,Yellow,Gray,White,Small,Medium,Yes,Yes,No,Healthy,Kuala Lumpur,2,0,0,15.0,2
56,8c131db77,Cat,Hitler (rename-able),5,Domestic Short Hair,Domestic Short Hair,Male,Black,White,White,Medium,Short,No,Yes,No,Healthy,Selangor,1,30,0,4.0,4
57,d765ae877,Dog,Skippy,24,Mixed Breed,Mixed Breed,Female,Cream,Cream,Cream,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,0,2.0,2
58,8ce183889,Dog,Ceasar,4,Mixed Breed,Mixed Breed,Male,Cream,Cream,Cream,Large,Medium,No,No,No,Healthy,Selangor,1,0,0,3.0,1
59,9c0ddccc8,Cat,Chocolate And Kitten,2,American Shorthair,American Shorthair,Mixed,Black,Gray,White,Small,Short,NA,NA,NA,Healthy,Kuala Lumpur,6,0,0,1.0,4
60,f9df8656a,Cat,Puss In Boots,1,Domestic Short Hair,Domestic Short Hair,Female,Yellow,Yellow,Yellow,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,5.0,1
61,f0ef9c777,Dog,Lego,9,Mixed Breed,Mixed Breed,Male,Brown,Cream,Cream,Medium,Short,Yes,Yes,NA,Healthy,Pulau Pinang,1,0,0,2.0,4
62,3181e5424,Dog,Milky,60,Mixed Breed,Mixed Breed,Female,Brown,Cream,Cream,Medium,Short,No,No,Yes,Healthy,Selangor,1,0,0,2.0,4
63,9883a048e,Dog,IO-Male-03,2,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Medium,Medium,No,No,No,Healthy,Pulau Pinang,1,0,0,5.0,2
64,b0dec8779,Dog,Little Yelpers,2,Spitz,Mixed Breed,Mixed,Black,Golden,White,Medium,Long,Yes,Yes,No,Healthy,Selangor,7,0,0,21.0,3
65,e8d0907ae,Dog,Ding Ding,48,Shih Tzu,Shih Tzu,Female,Brown,Cream,Cream,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,5.0,1
66,e540c1ba5,Cat,Still Water,3,Domestic Short Hair,Domestic Short Hair,Female,Brown,Brown,Brown,Medium,Short,No,No,No,Healthy,Melaka,1,0,0,1.0,4
67,4a4db4d32,Cat,Bill & Ben,4,Domestic Short Hair,Domestic Short Hair,Male,Black,Golden,Golden,Small,Short,No,Yes,No,Healthy,Kuala Lumpur,2,0,0,1.0,2
68,98a98311c,Cat,Almond,9,Domestic Short Hair,Domestic Short Hair,Female,Brown,White,White,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,1.0,2
69,ef14861df,Dog,Jasz,62,Mixed Breed,Mixed Breed,Male,Black,Golden,Gray,Medium,Medium,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,3.0,4
70,a9bc357f0,Dog,QiQi,36,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,5,0,0,1.0,4
71,aaf4a1439,Dog,H3,1,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Medium,No,Yes,No,Healthy,Selangor,1,0,0,1.0,3
72,1e62e6022,Dog,Baby / Bubbles,2,Labrador Retriever,Jack Russell Terrier,Male,Black,Brown,White,Small,Short,Yes,NA,No,Healthy,Kuala Lumpur,1,0,0,5.0,1
73,4e797dcdd,Dog,Ollie,2,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Small,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,3.0,4
74,45d2ddcb8,Dog,9 Puppies For Adoption!,1,Pit Bull Terrier,Finnish Spitz,Mixed,Black,Brown,White,Medium,Medium,No,No,No,Healthy,Pahang,9,100,0,5.0,2
75,259b10a3e,Dog,Coco,2,Mixed Breed,Mixed Breed,Female,Brown,Cream,Cream,Medium,Short,No,Yes,No,Healthy,Johor,1,0,0,1.0,0
76,d2490c888,Dog,Pebbles & Pepper,2,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Large,Short,Yes,Yes,No,Healthy,Selangor,2,0,1,3.0,4
77,2c93c0c11,Dog,Zoe,12,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,3.0,3
78,35593da00,Dog,Z3,2,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,5.0,1
79,4cc70e613,Dog,Still Water,1,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,1.0,3
80,ff125cf8d,Dog,MPSP-F-01,2,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,Yes,No,No,Healthy,Pulau Pinang,1,0,0,1.0,4
81,c30dd6e9a,Dog,Teddy,3,Silky Terrier,Silky Terrier,Male,Black,Brown,Brown,Small,Long,Yes,Yes,NA,Healthy,Selangor,1,750,0,2.0,1
82,be9474b85,Dog,Tanto In Kulim,3,Mixed Breed,Mixed Breed,Male,Black,White,White,Medium,Medium,No,Yes,No,Healthy,Kedah,1,0,0,1.0,2
83,815f4cc08,Dog,Cody,3,Mixed Breed,Labrador Retriever,Male,Cream,Cream,Cream,Medium,Medium,NA,NA,No,Healthy,Selangor,1,0,0,3.0,3
84,ec5069cf6,Cat,Malee,6,Domestic Medium Hair,Domestic Medium Hair,Female,Cream,White,White,Medium,Medium,No,Yes,No,Healthy,Selangor,1,50,0,4.0,3
85,867308404,Dog,Mayo 2 Pups,1,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Medium,No,No,No,Healthy,Selangor,2,0,0,3.0,2
86,e9df3ead7,Cat,Lulu,47,Bombay,Persian,Female,Black,Brown,Brown,Medium,Long,No,No,No,Healthy,Selangor,1,0,0,2.0,4
87,258667857,Dog,Rottweiler Puppy,2,Rottweiler,Mixed Breed,Male,Black,Brown,Brown,Large,Medium,NA,NA,NA,Healthy,Selangor,1,0,0,4.0,2
88,fd3172797,Dog,Lion Dog In Training,12,Mixed Breed,Mixed Breed,Female,Cream,Cream,Cream,Medium,Medium,Yes,Yes,Yes,Healthy,Perak,1,0,3,11.0,3
89,8df0bb3b3,Dog,Molly,2,Mixed Breed,Dalmatian,Male,Black,White,White,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,4,18.0,3
90,3d0752cd9,Dog,Rocky 06,1,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,No,No,No,Healthy,Perak,1,0,0,5.0,3
91,22051ab84,Cat,Kiki & Lala,1,Domestic Short Hair,Domestic Short Hair,Mixed,Brown,Golden,White,Small,Medium,No,No,No,Healthy,Selangor,2,0,0,3.0,4
92,573b3ec3d,Dog,Still Water,1,Mixed Breed,Mixed Breed,Mixed,Brown,White,White,Medium,Short,No,No,No,Healthy,Selangor,5,0,0,0.0,4
93,370fe2afb,Cat,Si Kuning,24,Domestic Short Hair,Domestic Short Hair,Male,Yellow,Yellow,Yellow,Large,Short,No,No,No,Minor Injury,Melaka,1,0,0,12.0,3
94,dd308e46b,Cat,Xiao Huang,24,Domestic Short Hair,Domestic Short Hair,Female,Brown,Yellow,Yellow,Medium,Short,No,No,Yes,Healthy,Selangor,1,0,0,1.0,4
95,6a763a055,Dog,HeiHei,2,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Medium,Short,No,No,No,Healthy,Pulau Pinang,1,0,0,2.0,3
97,a44d42407,Dog,Miko,4,Silky Terrier,Pekingese,Female,Brown,Brown,Brown,Small,Long,NA,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,3.0,3
98,cc8401c02,Dog,Fei Chai,24,Mixed Breed,Mixed Breed,Male,Brown,White,White,Medium,Short,No,No,No,Healthy,Johor,1,0,0,3.0,3
99,0f24b6cd6,Cat,Still Water,3,Domestic Medium Hair,Domestic Medium Hair,Male,Black,White,White,Medium,Medium,NA,NA,No,Healthy,Selangor,1,0,0,1.0,1
100,49bb70e36,Cat,Still Water,1,Domestic Long Hair,Domestic Long Hair,Mixed,Cream,Gray,Gray,Small,Medium,No,No,No,Healthy,Kuala Lumpur,2,0,0,1.0,2
101,43ddb2eb4,Dog,Sweetie Pie,24,Husky,Mixed Breed,Female,Black,Gray,White,Medium,Medium,NA,NA,Yes,Healthy,Selangor,1,0,0,2.0,2
102,dae92dd61,Dog,Jasz Michael,60,Schnauzer,Schnauzer,Male,Gray,Gray,Gray,Medium,Medium,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,3.0,4
103,a6ac8884b,Dog,C,1,Mixed Breed,Mixed Breed,Female,Black,Brown,White,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,1.0,3
104,60ce9e319,Cat,Honey,3,Domestic Short Hair,Domestic Short Hair,Female,Brown,Golden,Golden,Small,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,7.0,1
105,5247209aa,Cat,Meelow,2,Domestic Medium Hair,Domestic Medium Hair,Male,Golden,Golden,Golden,Small,Medium,No,No,No,Healthy,Kuala Lumpur,1,0,0,2.0,2
106,19b1f4263,Cat,SYLVESTER,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,White,White,Medium,Short,Yes,Yes,No,Healthy,Kuala Lumpur,2,1,0,3.0,0
107,d50e11ec5,Dog,Doggie R4,2,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,2.0,3
108,4407e70f3,Cat,Still Water,2,Domestic Short Hair,Domestic Short Hair,Female,Gray,White,White,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,2.0,1
109,27b6e5aca,Dog,Pretzel,3,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,4.0,4
110,80ebea85c,Dog,Still Water,2,Mixed Breed,Mixed Breed,Female,Black,Yellow,White,Large,Short,No,No,No,Healthy,Pulau Pinang,6,0,0,5.0,3
111,1bf1f95ef,Cat,Mimi,12,Tabby,Tabby,Female,Golden,Gray,White,Medium,Medium,Yes,No,Yes,Healthy,Melaka,2,0,0,1.0,4
112,cdab8ba8e,Cat,Charlie Tux,4,Domestic Short Hair,Tuxedo,Female,Black,White,White,Medium,Short,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,5.0,2
113,b84dad49f,Dog,Still Water,120,Mixed Breed,Mixed Breed,Male,Black,Brown,White,Large,Short,NA,NA,NA,Healthy,Kuala Lumpur,1,0,0,3.0,4
114,f0a2122d4,Dog,Rocket,3,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,4.0,4
115,1104fe6bb,Cat,Still Water,1,Domestic Medium Hair,Domestic Medium Hair,Mixed,Brown,Cream,White,Small,Medium,No,No,No,Healthy,Selangor,4,0,0,2.0,4
116,46d88ca3e,Dog,Jessy (Golden Retriever),36,Golden Retriever,Golden Retriever,Female,Brown,Golden,Yellow,Large,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,4.0,1
117,b99d5d532,Cat,Still Water,3,Domestic Short Hair,Domestic Short Hair,Female,Black,Brown,White,Small,Short,No,Yes,No,Healthy,Selangor,1,0,0,3.0,4
118,2b6d08cba,Cat,Girl,60,Persian,Persian,Male,Golden,Golden,Golden,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,0.0,4
119,b9429dc85,Cat,DIDO,1,Domestic Short Hair,Domestic Short Hair,Female,Brown,Cream,White,Medium,Short,No,Yes,NA,Healthy,Selangor,1,0,0,4.0,1
120,c61f6507e,Dog,Still Water,3,Mixed Breed,Mixed Breed,Mixed,Black,Brown,White,Medium,Medium,Yes,Yes,No,Healthy,Selangor,3,150,0,3.0,1
121,e464fcd4b,Dog,Kaiser,36,Rottweiler,Rottweiler,Male,Black,Cream,Cream,Large,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,4.0,2
122,86379f12f,Dog,Oscar,12,Siberian Husky,Siberian Husky,Male,Black,Gray,White,Medium,Medium,Yes,No,No,Healthy,Negeri Sembilan,1,400,0,1.0,2
123,55fcdea2f,Cat,KITTENS LITTER #2,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Gray,White,Small,Short,No,NA,No,Healthy,Kuala Lumpur,4,0,0,3.0,3
124,392d3346e,Dog,KT(female) & TM (male),0,Mixed Breed,Mixed Breed,Mixed,Black,Brown,Golden,Large,Short,NA,NA,NA,Healthy,Selangor,2,0,0,4.0,1
125,33db028cb,Cat,Zoro,1,Domestic Medium Hair,Domestic Medium Hair,Male,Black,White,White,Small,Medium,No,No,No,Healthy,Selangor,1,0,1,1.0,2
126,35c0c3aca,Dog,WonderBoy,5,Collie,Basenji,Male,Cream,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,6.0,3
127,d080818c3,Dog,Ruby,24,German Shepherd Dog,Mixed Breed,Female,Black,Brown,Brown,Medium,Medium,NA,NA,NA,Healthy,Kuala Lumpur,1,0,0,3.0,3
128,6f0cb510a,Dog,Milo,3,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,3.0,1
129,61ac3c78c,Dog,"Michelle, Dolphine, Sarah",3,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Small,Short,NA,NA,NA,Healthy,Negeri Sembilan,3,0,0,1.0,4
130,368b2adc1,Dog,Tiger Or Ti-girl,4,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Medium,Short,No,Yes,No,Healthy,Pahang,1,0,0,5.0,4
131,2e4c1faf7,Cat,Ibu & Kitten Yg Diabaikan,3,Domestic Short Hair,Domestic Short Hair,Mixed,Black,White,White,Medium,Medium,NA,NA,NA,Healthy,Selangor,2,0,0,3.0,1
132,a85a1c8c3,Cat,MummyAndKitties,1,Domestic Medium Hair,Domestic Medium Hair,Female,Black,White,White,Small,Medium,No,No,No,Healthy,Negeri Sembilan,5,0,0,3.0,2
133,25c7d6c3b,Cat,Mocha (Reserved - Rose),8,Siamese,Domestic Short Hair,Male,Brown,Cream,Cream,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,50,0,8.0,2
134,0b819602d,Cat,JackJack (Black)& Turtle (Tor.shell,2,Tortoiseshell,Domestic Short Hair,Mixed,Black,Brown,Brown,Medium,Short,No,No,No,Healthy,Negeri Sembilan,2,0,0,2.0,4
135,4c594983d,Dog,Wong & Choi,32,Mixed Breed,Mixed Breed,Mixed,Black,Yellow,Cream,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,2,0,0,5.0,4
136,05f99fc56,Dog,Dober Mix,3,Doberman Pinscher,Mixed Breed,Mixed,Black,Brown,Brown,Large,Short,Yes,Yes,No,Healthy,Selangor,3,0,0,4.0,2
137,1dfadc371,Cat,Baby Hak,12,Domestic Medium Hair,Domestic Medium Hair,Male,Black,Black,Black,Medium,Medium,No,No,No,Healthy,Selangor,1,0,0,1.0,3
138,6d9b202c9,Dog,Polly,4,Mixed Breed,Bluetick Coonhound,Female,Black,Brown,White,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,0,10.0,3
139,54791dc58,Dog,Kaka,2,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Medium,Short,No,NA,No,Healthy,Selangor,1,0,0,3.0,2
140,b36616178,Cat,Manja,7,Calico,Tortoiseshell,Female,Black,Yellow,White,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,7.0,2
141,2ac4dd8c2,Cat,Pillo,5,Domestic Long Hair,Domestic Long Hair,Male,Yellow,Yellow,Yellow,Medium,Long,No,Yes,No,Healthy,Kuala Lumpur,1,100,0,5.0,3
142,29f54c6ff,Cat,Blueys,2,Domestic Medium Hair,Domestic Medium Hair,Female,Gray,White,White,Medium,Medium,Yes,Yes,No,Healthy,Kuala Lumpur,2,0,0,4.0,2
143,48b418070,Dog,Sophieee,60,American Staffordshire Terrier,American Staffordshire Terrier,Female,Black,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,2.0,3
144,c7eac7b01,Cat,5 Cutie Kitty,4,Domestic Medium Hair,Bengal,Mixed,Black,Golden,White,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,5,0,0,5.0,2
145,8e0d65b3e,Dog,Still Water,120,Beagle,Schnauzer,Male,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,2,0,0,1.0,1
146,9a34ddc8b,Dog,Latte,12,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,2.0,2
147,ff9f62e79,Cat,Cat,17,Domestic Short Hair,Domestic Short Hair,Female,Black,Brown,White,Small,Short,NA,NA,Yes,Healthy,Selangor,1,0,0,3.0,3
148,4a6ee5d02,Cat,Putih And Oren,2,Domestic Short Hair,Domestic Short Hair,Mixed,Yellow,Cream,White,Medium,Short,No,No,No,Healthy,Kuala Lumpur,2,0,0,2.0,2
149,474bccd75,Dog,Roscoe,48,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,0,2.0,2
150,e4abb93bf,Dog,Winnie,4,Mixed Breed,Mixed Breed,Female,Black,White,White,Medium,Short,Yes,No,No,Healthy,Negeri Sembilan,1,0,0,2.0,3
151,120805f93,Cat,Manis,12,Turkish Van,Turkish Van,Female,Golden,Cream,Cream,Medium,Medium,NA,Yes,Yes,Healthy,Selangor,1,0,0,2.0,3
